Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[growth condition]	Sample Characteristic Ontology Term[growth condition]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[strain]	Sample Characteristic Ontology Term[strain]	Factor Value[growth condition]	Factor Value Ontology Term[growth condition]	Analysed
ERR3452815	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		Escherichia coli OP50 lawn		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		Escherichia coli OP50 lawn		Yes
ERR3452816	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		Escherichia coli OP50 lawn		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		Escherichia coli OP50 lawn		Yes
ERR3452817	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		Escherichia coli OP50 lawn		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		Escherichia coli OP50 lawn		Yes
ERR3452818	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		mixed lawn (Escherichia coli OP50 and Bacillus subtilis PXN21)		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		mixed lawn (Escherichia coli OP50 and Bacillus subtilis PXN21)		Yes
ERR3452819	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		mixed lawn (Escherichia coli OP50 and Bacillus subtilis PXN21)		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		mixed lawn (Escherichia coli OP50 and Bacillus subtilis PXN21)		Yes
ERR3452820	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		mixed lawn (Escherichia coli OP50 and Bacillus subtilis PXN21)		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		mixed lawn (Escherichia coli OP50 and Bacillus subtilis PXN21)		Yes
ERR3452821	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		Bacillus subtilis PXN21 lawn		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		Bacillus subtilis PXN21 lawn		Yes
ERR3452822	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		Bacillus subtilis PXN21 lawn		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		Bacillus subtilis PXN21 lawn		Yes
ERR3452823	2 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	pkIs2386[Punc-54::α-synuclein::YFP + unc-119(+)]		Bacillus subtilis PXN21 lawn		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	NL5901		Bacillus subtilis PXN21 lawn		Yes
